@relation mulcross
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute Target {Normal,Anomaly}
@data
-0.203949523,0.363011153,1.013766286,0.187131083,'Normal'
-0.76111817,2.436423783,0.681845572,0.654365847,'Normal'
-0.209978891,1.131097513,-0.282179986,-0.202210153,'Normal'
0.836812034,0.650342187,-0.426900043,-0.305281241,'Normal'
0.454203989,1.560127985,-0.204840828,0.219232693,'Normal'
0.66267664,-1.197231439,-0.595304143,-0.774229239,'Normal'
-0.992152078,1.045661761,0.674981183,0.48177847,'Normal'
0.686468605,-1.120462588,2.540408242,2.475739734,'Anomaly'
0.570145539,0.612154975,0.680705235,0.139626589,'Normal'
-0.135673878,0.90074214,0.715584158,0.012256072,'Normal'
1.14823372,0.284805536,-0.500105278,-0.556229815,'Normal'
0.963391876,-1.208190575,-2.568890536,2.344672849,'Anomaly'
-0.662430508,1.048991637,0.287179805,-0.306453044,'Normal'
0.610342226,-0.130589072,0.326171729,-0.806283369,'Normal'
-0.35726728,1.051361072,-0.004476741,-1.139505597,'Normal'
0.732883199,-0.044900064,0.023969362,-0.113396864,'Normal'
-0.603595591,-0.306674085,-0.459858438,0.131608417,'Normal'
-1.699159026,0.246999427,-0.135035614,0.243557913,'Normal'
-0.917922202,-1.485545676,-1.022936577,-1.137964026,'Normal'
0.915320959,-0.078493875,0.724550639,-0.587778158,'Normal'
0.336592379,0.929671472,-0.111010852,-0.079458977,'Normal'
1.080416992,-0.299386409,0.501083232,0.056384718,'Normal'
-0.11081593,1.135650833,0.385019841,-0.237358248,'Normal'
-0.006078606,-0.220487995,-0.43913862,-0.340420379,'Normal'
0.8268393,-1.078084687,2.685594391,2.343733106,'Anomaly'
-0.419871101,-0.32544997,0.014442997,-0.350122872,'Normal'
1.172244783,-0.506241496,0.537169323,-0.326435899,'Normal'
-0.172390034,-2.388763122,-0.529637444,-0.924046872,'Normal'
0.785643787,1.332809758,-0.199944641,0.103342942,'Normal'
0.221076852,-1.458053436,-0.923113019,-0.584923391,'Normal'
0.735257581,0.951050873,0.502424992,-0.444738646,'Normal'
-0.738045211,-0.813693956,0.376159183,-0.415031269,'Normal'
-1.601179684,-0.388456864,0.424255501,-0.162528034,'Normal'
0.983279668,-0.607681896,-0.510935054,-0.517296719,'Normal'
-1.426394033,-1.144496878,0.577478921,-0.296654228,'Normal'
-0.466061749,-0.273731699,0.362248079,-0.646314618,'Normal'
0.136590949,-1.004576287,1.20232688,-1.37202572,'Normal'
-0.455208216,0.722640228,-0.101312492,-0.410369911,'Normal'
0.123957035,-0.933653604,0.288725569,-0.343324096,'Normal'
0.62910143,-1.162691144,-2.581676397,2.445234711,'Anomaly'
-0.076946142,0.74336451,0.120879921,-0.280405497,'Normal'
0.100451086,-0.113977778,0.282462375,-1.335235525,'Normal'
-1.033226063,0.844347042,-0.525189759,0.206471968,'Normal'
-2.579654627,0.854882579,-0.583152243,0.975816827,'Normal'
0.809804258,0.614479528,-0.615190009,-0.895818264,'Normal'
0.021587104,-0.537191636,-0.090391578,-0.934071298,'Normal'
0.394325744,1.261794521,-0.053020767,0.369087711,'Normal'
0.92938436,-1.076824463,-2.633021406,2.443312935,'Anomaly'
0.896659716,-1.040653536,-2.56875326,2.448292311,'Anomaly'
-0.265542396,-0.585997416,0.460343611,-0.118864304,'Normal'
-0.293795537,-0.037714506,0.344036989,-0.444554498,'Normal'
0.522135657,0.8490135,-0.086817875,-0.31107579,'Normal'
-0.334215603,-1.616378325,-0.004300351,-1.421378544,'Normal'
1.715448932,-0.37708592,-0.662504386,-0.449156701,'Normal'
0.544659756,-1.107443523,2.600159821,2.54012712,'Anomaly'
-0.616503107,0.540250561,-0.191669392,0.495956954,'Normal'
0.525284733,3.194294749,-0.702438193,0.708002242,'Normal'
